X,Y
0.000000,24.0000
0.094512,24.4492
0.189024,29.4746
0.283536,34.7160
0.378048,35.3546
0.472560,33.5960
0.567071,29.3889
0.661583,26.7037
0.756095,24.6468
0.850607,24.5000
